Sat	Load	Oblast
1	3250	BGD
2	2907	BGD
3	2656	BGD
4	2536	BGD
5	2541	BGD
6	2680	BGD
7	3122	BGD
8	3601	BGD
9	3730	BGD
10	3765	BGD
11	3707	BGD
12	3735	BGD
13	3703	BGD
14	3649	BGD
15	3555	BGD
16	3552	BGD
17	3530	BGD
18	3470	BGD
19	3597	BGD
20	3820	BGD
21	4231	BGD
22	4246	BGD
23	4005	BGD
24	3707	BGD
1	3190	VOJ
2	2581	VOJ
3	2339	VOJ
4	2227	VOJ
5	2642	VOJ
6	2738	VOJ
7	3241	VOJ
8	3350	VOJ
9	3558	VOJ
10	3894	VOJ
11	3383	VOJ
12	3954	VOJ
13	3847	VOJ
14	3837	VOJ
15	3348	VOJ
16	3586	VOJ
17	3610	VOJ
18	3557	VOJ
19	3632	VOJ
20	3811	VOJ
21	4257	VOJ
22	4190	VOJ
23	4037	VOJ
24	3890	VOJ
